input_name,variation,target_script,label
Chalermchai Boonmee,شليرمشي بونمي,arab,0
Siti Fatimah,سيتي فاطمة,arab,1
Siti Fatimah,سيتو فطمه,arab,0
Ahmad Zulkifli,أحمد ذو الكفل,arab,1
Ahmad Zulkifli,أخمد زلكفل,arab,0
Georgios Papadakis,جورجيوس باباداكيس,arab,1
Georgios Papadakis,جورجس بابادكس,arab,0
Astrid Olsen,أستريد أولسن,arab,1
Astrid Olsen,أستري ألسن,arab,0
Declan Walsh,ديكلان والش,arab,1
Declan Walsh,دكلن ولش,arab,0
Beatriz Mendes,بياتريز مينديز,arab,1
Beatriz Mendes,بيتريز مندز,arab,0
Santiago Rojas,سانتياغو روخاس,arab,1
Santiago Rojas,سنتيغو روجاس,arab,0
Ximena Vargas,شيمينا فارغاس,arab,1
Ximena Vargas,شمنا فرغس,arab,0
Behnam Shariati,بهنام شریعتي,arab,1
Behnam Shariati,بهنم شرياتي,arab,0
Shabnam Rahimi,شبنم رحيمي,arab,1
Shabnam Rahimi,شبنم رحمي,arab,0
Baran Khalil,باران خليل,arab,1
Baran Khalil,برن خلي,arab,0
Deniz Aksoy,دينيز أكسوي,arab,1
Deniz Aksoy,دينز أكسي,arab,0
Akira Sato,أكيرا ساتو,arab,1
Akira Sato,أكرا ستو,arab,0
Eun-Young Kim,يون يونغ كيم,arab,1
Eun-Young Kim,يون ينغ كم,arab,0
Amaka Nwankwo,أماكا نوانكو,arab,1
Amaka Nwankwo,أمكا نواكو,arab,0
Idris Abubakar,إدريس أبو بكر,arab,1
Idris Abubakar,إدرس أببكر,arab,0
Yetunde Ogunbiyi,ييتوندي أوغونبيي,arab,1
Yetunde Ogunbiyi,يتندي أغنبي,arab,0
Mulugeta Tesfaye,مولوغيتا تيسفاي,arab,1
Mulugeta Tesfaye,ملغيتا تسفاي,arab,0
Awa Diop,آوا ديوب,arab,1
Awa Diop,أو ديب,arab,0
Kwame Boateng,كوامي بوتينغ,arab,1
Kwame Boateng,كوام بوتنغ,arab,0
Fatou Jallow,فاتو جالو,arab,1
Fatou Jallow,فط جلو,arab,0
Ishaan Malhotra,إشان مالهوترا,arab,1
Ishaan Malhotra,إشن ملحترا,arab,0
Tanya Gupta,تانيا غوبتا,arab,1
Tanya Gupta,تنيا غبتا,arab,0
Aditya Rao,أديتيا راو,arab,1
Aditya Rao,أدتيا رو,arab,0
Meera Nair,ميرا ناير,arab,1
Meera Nair,مير نير,arab,0
Sachin Patel,ساتشين باتيل,arab,1
Divya Bhatt,ديفيا بهات,arab,1
Divya Bhatt,دفيا بت,arab,0
Tran Thi Linh,تران ثي لينه,arab,1
Tran Thi Linh,ترن ثي لن,arab,0
Vo Van Thanh,فو فان ثانه,arab,1
Vo Van Thanh,فو فن ثن,arab,0
Nattawut Phasuk,ناتاووت فاسوك,arab,1
Nattawut Phasuk,ناتووت فسوك,arab,0
Noraini Abdullah,نوريني عبدالله,arab,1
Noraini Abdullah,نريني عبدلله,arab,0
Christos Vlachos,كريستوس فلاخوس,arab,1
Christos Vlachos,كريستس فلخس,arab,0
Freja Pedersen,فريجا بيدرسن,arab,1
Freja Pedersen,فرجا بدرسن,arab,0
Seamus Kelly,شيموس كيلي,arab,1
Seamus Kelly,شيمس كلي,arab,0
Camila Ortiz,كاميلا أورتيز,arab,1
Camila Ortiz,كميلا أرتز,arab,0
Joaquin Castro,خواكين كاسترو,arab,1
Joaquin Castro,خكين كسترو,arab,0
Yasmin Morales,ياسمين موراليس,arab,1
Yasmin Morales,يسمين مورلس,arab,0
Rojan Aziz,روجان عزيز,arab,1
Rojan Aziz,رجن عزز,arab,0
Emir Yildiz,أمير يلدز,arab,1
Emir Yildiz,إمر يلدز,arab,0
Ryoichi Mori,ريويتشي موري,arab,1
Ryoichi Mori,ريوشي موري,arab,0
Ji-Yeon Park,جي يون بارك,arab,1
Ji-Yeon Park,جي ين برك,arab,0
Obinna Eze,أوبينا إيزي,arab,1
Obinna Eze,أبينا إزي,arab,0
Aminata Sow,أميناتا سو,arab,1
Aminata Sow,أمنتا سو,arab,0
Folake Adesina,فولاكي أديسينا,arab,1
Folake Adesina,فلاكي أديسنا,arab,0
Dawit Gebremichael,داويت جيبرمايكل,arab,1
Dawit Gebremichael,دويت جبرميكل,arab,0
Mariama Bah,مريامة باه,arab,1
Mariama Bah,مريم باه,arab,0
Kwesi Appiah,كويسي أبياه,arab,1
Kwesi Appiah,كويسي أبيا,arab,0
Suman Das,سومان داس,arab,1
Suman Das,سومن دس,arab,0
Pooja Yadav,بوجا ياداف,arab,1
Pooja Yadav,بجا يدف,arab,0
Nikhil Sharma,نيخيل شارما,arab,1
Nikhil Sharma,نخيل شورما,arab,0
Riya Sengupta,ريا سينغوبتا,arab,1
Riya Sengupta,رييا سنغبتا,arab,0
Le Van Cuong,لي فان كوونغ,arab,1
Le Van Cuong,لو فن كونغ,arab,0
Do Thi Anh,دو ثي آنه,arab,1
Do Thi Anh,دي ثي أن,arab,0
Preecha Suksai,بريتشا سوكساي,arab,1
Preecha Suksai,بريشا سكسي,arab,0
Faridah Yusof,فريدة يوسف,arab,1
Faridah Yusof,فريده يوسف,arab,0
Dimitrios Kouris,ديميتريوس كوريس,arab,1
Dimitrios Kouris,ديمترس كورس,arab,0
Sigrid Haugen,سيغريد هاوغن,arab,1
Sigrid Haugen,سيگريد هوگن,arab,0
Cormac Doyle,كورماك دويل,arab,1
Cormac Doyle,كرمك دويل,arab,0
Valeria Gomez,فاليريا غوميز,arab,1
Valeria Gomez,فليريا گومز,arab,0
Esteban Morales,إستيبان موراليس,arab,1
Esteban Morales,إستبن مورلس,arab,0
Luz Quispe,لوز كيسباي,arab,1
Luz Quispe,لز كسبي,arab,0
Mehrdad Farhadi,مهرداد فرهادي,arab,1
Mehrdad Farhadi,مهراد فرهدي,arab,0
Lana Karim,لانا كريم,arab,1
Lana Karim,لنا كرم,arab,0
Cihan Kaya,جيهان كايا,arab,1
Cihan Kaya,جهن كيا,arab,0
Takeshi Ito,تاكيشي إيتو,arab,1
Takeshi Ito,تكشي إتو,arab,0
Hye-Rim Lee,هيي ريم لي,arab,1
Hye-Rim Lee,هي رم لي,arab,0
Chiamaka Udeh,شياماكا أوديه,arab,1
Chiamaka Udeh,شيمكا أودي,arab,0
Yusuf Bello,يوسف بيلو,arab,1
Yusuf Bello,ياسف بيلو,arab,0
Omolara Adeyemi,أومولارا أديييمي,arab,1
Omolara Adeyemi,أملارا أديمي,arab,0
Selamawit Assefa,سيلاماويت أسيفا,arab,1
Selamawit Assefa,سلمويت أسيف,arab,0
Isatou Ceesay,إيساتو سييساي,arab,1
Isatou Ceesay,إستو سيساي,arab,0
Kwadwo Mensah,كوادوو مينساه,arab,1
Kwadwo Mensah,كوادو منسه,arab,0
Rohit Jain,روهيت جين,arab,1
Rohit Jain,رهيت جن,arab,0
Shreya Ghosh,شريا غوش,arab,1
Shreya Ghosh,شري غش,arab,0
Amitabh Kumar,أميتابه كومار,arab,1
Amitabh Kumar,أمتبه كمر,arab,0
Trisha Bose,تريشا بوس,arab,1
Trisha Bose,ترشه بوس,arab,0
Ngo Thi Lan,نغو ثي لان,arab,1
Ngo Thi Lan,نغي ثي لن,arab,0
Vuong Van Nam,فونغ فان نام,arab,1
Vuong Van Nam,فنغ فن نم,arab,0
Sompong Thongdee,سومبونغ ثونغدي,arab,1
Sompong Thongdee,سمبونغ ثنغدي,arab,0
Hafizuddin Ismail,حافظ الدين إسماعيل,arab,1
Hafizuddin Ismail,حفظ الدين سماعيل,arab,0
Antonis Markou,أنتونيس ماركو,arab,1
Antonis Markou,أنتنس مركو,arab,0
Liv Jensen,ليف ينسن,arab,1
Liv Jensen,ليف جنسن,arab,0
Orla Murphy,أورلا ميرفي,arab,1
Orla Murphy,أرلا مرفي,arab,0
Renata Silva,ريناتا سيلفا,arab,1
Renata Silva,رناتا سليف,arab,0
Felipe Navarro,فيليبي نافارو,arab,1
Felipe Navarro,فليپي نفرو,arab,0
Itzel Morales,إيتزيل موراليس,arab,1
Itzel Morales,إتزل مورلس,arab,0
Hossein Ghaffari,حسين غفاري,arab,1
Hossein Ghaffari,حسن غفري,arab,0
Shirin Omar,شيرين عمر,arab,1
Shirin Omar,شرن عمر,arab,0
Kerem Ozkan,كيرم أوزكان,arab,1
Kerem Ozkan,كرم أزكن,arab,0
Daichi Hayashi,دايتشي هاياشي,arab,1
Daichi Hayashi,ديتشي هياشي,arab,0
Soo-Jin Kim,سو جين كيم,arab,1
Soo-Jin Kim,سو جن كم,arab,0
Ebelechukwu Obi,إيبيليتشوكو أوبي,arab,1
Ebelechukwu Obi,إيبلشكو أوبي,arab,0
Sani Musa,ساني موسى,arab,1
Sani Musa,سني موسي,arab,0
Titilayo Ojo,تيتيلايو أوجو,arab,1
Titilayo Ojo,تتلايو أجو,arab,0
Yared Lemma,ياريد ليما,arab,1
Yared Lemma,يريد لمما,arab,0
Ndeye Fall,نديي فال,arab,1
Ndeye Fall,ندي فل,arab,0
Yaw Osei,ياو أوسي,arab,1
Yaw Osei,يو أوسي,arab,0
Kunal Mehra,كونال ميهرا,arab,1
Kunal Mehra,كنال مهرا,arab,0
Ananya Roy,أنانيا روي,arab,1
Ananya Roy,أننيا روي,arab,0
Vivek Chawla,فيفيك تشاولا,arab,1
Vivek Chawla,فيفك شولا,arab,0
Saumya Dutta,سوميا دوتا,arab,1
Saumya Dutta,سومي دتا,arab,0
Dang Thi Hoa,دانغ ثي هوا,arab,1
Dang Thi Hoa,دنغ ثي هو,arab,0
Truong Van Phuc,ترونغ فان فوك,arab,1
Truong Van Phuc,ترنغ فن فك,arab,0
Wichai Promsuk,ويتشاي برومسوك,arab,1
Wichai Promsuk,ويچي برمسوك,arab,0
Zulaikha Rahim,زليخة رحيم,arab,1
Zulaikha Rahim,زوليخا رحم,arab,0
Pavlos Demetriou,بافلوس ديميتريو,arab,1
Pavlos Demetriou,بفلوس دمتريو,arab,0
Hanne Berg,هاني بيرغ,arab,1
Hanne Berg,هن بيرغ,arab,0
Ciaran Walsh,كياران والش,arab,1
Ciaran Walsh,كيرن ولش,arab,0
Gabriela Costa,غابرييلا كوستا,arab,1
Gabriela Costa,گبريلا كستا,arab,0
Rafael Mendoza,رافاييل ميندوزا,arab,1
Rafael Mendoza,رفيل مندوزا,arab,0
Citlali Huerta,سيتالي هويرتا,arab,1
Citlali Huerta,ستالي هورتا,arab,0
Reza Hosseinzadeh,رضا حسين زاده,arab,1
Reza Hosseinzadeh,رزا حسينزده,arab,0
Dilan Barzani,ديلان بارزاني,arab,1
Dilan Barzani,دلن برزاني,arab,0
Murat Yilmaz,مورات يلماز,arab,1
Murat Yilmaz,مراد يلمز,arab,0
Shota Nakamura,شوتا ناكامورا,arab,1
Shota Nakamura,شوتو نكمورا,arab,0
Min-Seo Lee,مين سيو لي,arab,1
Min-Seo Lee,من سيو لي,arab,0
Uchenna Okoye,أوتشينا أوكوي,arab,1
Uchenna Okoye,أشنا أوكي,arab,0
Hauwa Idris,هاووا إدريس,arab,1
Hauwa Idris,هوا إدرس,arab,0
Oluwaseun Adebayo,أولواسيون أديبايو,arab,1
Oluwaseun Adebayo,ألواسن أدباي,arab,0
Tigist Alemu,تيجيست أليمو,arab,1
Tigist Alemu,تجست ألمو,arab,0
Aissatou Diallo,عيساتو ديالو,arab,1
Aissatou Diallo,إساتو ديلو,arab,0
Nana Yaw,نانا ياو,arab,1
Nana Yaw,ننا يو,arab,0
Swati Mishra,سواتي ميشرا,arab,1
Swati Mishra,سوات ميشرا,arab,0
Abhishek Rana,أبهيشيك رانا,arab,1
Abhishek Rana,أبشيك رنا,arab,0
Priyam Banerjee,بريام بانيرجي,arab,1
Priyam Banerjee,بريم بنرجي,arab,0
Tanushree Das,تانوشري داس,arab,1
Tanushree Das,تنشري دس,arab,0
Lai Thi Cuc,لاي ثي كوك,arab,1
Lai Thi Cuc,لي ثي كك,arab,0
Nguyen Van Long,نغوين فان لونغ,arab,1
Nguyen Van Long,نغين فن لنغ,arab,0
Anuwat Chaiyaporn,أنوات تشايابورن,arab,1
Anuwat Chaiyaporn,أنوت شيبورن,arab,0
Nabilah Hassan,نبيلة حسان,arab,1
Nabilah Hassan,نبيله حسين,arab,0
Yiannis Stavros,يانيس ستافروس,arab,1
Yiannis Stavros,ينيس ستفروس,arab,0
Inga Nilsen,إنغا نيلسن,arab,1
Inga Nilsen,إنغ نلسن,arab,0
Eoin Kelly,إيوين كيلي,arab,1
Eoin Kelly,إين كلي,arab,0
Juliana Almeida,جوليانا ألميدا,arab,1
Juliana Almeida,جليانا ألميدا,arab,0
Mateo Vargas,ماتيو فارغاس,arab,1
Mateo Vargas,ماتو فرغس,arab,0
Xochilt Morales,شوشيلت موراليس,arab,1
Xochilt Morales,شوشتل مورلس,arab,0
Ehsan Jafari,إحسان جعفري,arab,1
Ehsan Jafari,إحسن جفري,arab,0
Raman Jalal,رامان جلال,arab,1
Raman Jalal,رمن جلیل,arab,0
Ece Demir,إيجي ديمير,arab,1
Ece Demir,إج دمر,arab,0
Haruto Tanaka,هاروتو تاناكا,arab,1
Haruto Tanaka,هرتو تنكا,arab,0
Ye-Jin Choi,يي جين تشوي,arab,1
Ye-Jin Choi,يي جن شوي,arab,0
Nkechi Okoro,نكيتشي أوكورو,arab,1
Nkechi Okoro,نكشي أكرو,arab,0
Suleiman Adamu,سليمان أدامو,arab,1
Suleiman Adamu,سلمان أدما,arab,0
Funmilayo Afolabi,فونميلايو أفولابي,arab,1
Funmilayo Afolabi,فنمليو أفلابي,arab,0
Betelhem Desta,بيتليهم ديستا,arab,1
Betelhem Desta,بتلهيم دسيتا,arab,0
Fatimata Keita,فاطمة كيتا,arab,1
Fatimata Keita,فطمه كيت,arab,0
Kofi Mensah,كوفي مينساه,arab,1
Kofi Mensah,كافي منسه,arab,0
Sanjana Roy,سانجانا روي,arab,1
Sanjana Roy,سنجانا روي,arab,0
Ravi Verma,رافي فيرما,arab,1
Ravi Verma,رفي فرمة,arab,0
Aniket Sharma,أنيكيت شارما,arab,1
Aniket Sharma,أنكيت شورما,arab,0
Moushumi Das,موشومي داس,arab,1
Moushumi Das,مشمي دس,arab,0
Doan Thi Thanh,دوان ثي ثانه,arab,1
Doan Thi Thanh,دون ثي ثن,arab,0
Bui Van Tuan,بوي فان توان,arab,1
Bui Van Tuan,بي فن تون,arab,0
Sakchai Rattanachai,ساكشاي راتاناشاي,arab,1
Sakchai Rattanachai,سكشي رتنشي,arab,0
Aishah Ibrahim,عائشة إبراهيم,arab,1
Aishah Ibrahim,عشا إبراهم,arab,0
Nikos Papandreou,نيكوس باباندرو,arab,1
Nikos Papandreou,نيكس بابندرو,arab,0
Solveig Olsen,سولفيغ أولسن,arab,1
Solveig Olsen,سلفيغ ألسن,arab,0
Fionn Kelly,فيون كيلي,arab,1
Fionn Kelly,فين كلي,arab,0
Carolina Santos,كارولينا سانتوس,arab,1
Carolina Santos,كرولينا سنتوس,arab,0
Alejandro Guzman,أليخاندرو غوزمان,arab,1
Alejandro Guzman,ألخندرو گزمان,arab,0
Nayeli Morales,ناييلي موراليس,arab,1
Nayeli Morales,نايلي مورلس,arab,0
Kamran Shariati,كامران شریعتي,arab,1
Kamran Shariati,كمرن شرياتي,arab,0
Hana Aziz,هناء عزيز,arab,1
Hana Aziz,هنا عزز,arab,0
Berkay Ozcan,بيركاي أوزجان,arab,1
Berkay Ozcan,بركي أزجن,arab,0
Kenji Yamamoto,كينجي ياماموتو,arab,1
Kenji Yamamoto,كنچي يمموتو,arab,0
Hae-Won Park,هايي وون بارك,arab,1
Hae-Won Park,هايي ون برك,arab,0
Adanna Igwe,أدانا إيغوي,arab,1
Adanna Igwe,أدنا إغوي,arab,0
Ibrahim Sani,إبراهيم ساني,arab,1
Ibrahim Sani,إبراهم سني,arab,0
Olabisi Adewale,أولابيسي أديوالي,arab,1
Olabisi Adewale,ألبيسي أدوالي,arab,0
Aster Tadesse,أستر تاديسي,arab,1
Aster Tadesse,أستر تدسي,arab,0
Maimouna Bah,ميمونة باه,arab,1
Maimouna Bah,ميمون باه,arab,0
Kwabena Ofori,كوابينا أوفوري,arab,1
Kwabena Ofori,كوبينا أفري,arab,0
Arnav Chatterjee,أرناف تشاتيرجي,arab,1
Arnav Chatterjee,أرنف شترجي,arab,0
Sanya Kapoor,سانيا كابور,arab,1
Sanya Kapoor,سنيا كبور,arab,0
Rohan Gupta,روهان غوبتا,arab,1
Rohan Gupta,رهن غبتا,arab,0
Tisha Sen,تيشا سين,arab,1
Tisha Sen,تيشه سين,arab,0
Pham Thi Hong,فام ثي هونغ,arab,1
Pham Thi Hong,فم ثي هنغ,arab,0
Vu Thi Mai,فو ثي ماي,arab,1
Vu Thi Mai,في ثي مي,arab,0
Chatchai Somsri,شاتشاي سومسري,arab,1
Chatchai Somsri,شتشي سمسري,arab,0
Fatimah Yusof,فاطمة يوسف,arab,1
Fatimah Yusof,فطمه يوسف,arab,0
Stavros Ioannou,ستافروس يوانو,arab,1
Stavros Ioannou,ستفروس يونو,arab,0
Frida Hansen,فريدا هانسن,arab,1
Frida Hansen,فريد هنسن,arab,0
Ronan Burke,رونان بيرك,arab,1
Ronan Burke,رنان برك,arab,0
Isadora Lima,إيزادورا ليما,arab,1
Isadora Lima,إزادورا ليم,arab,0
Victor Alvarez,فيكتور ألفاريز,arab,1
Victor Alvarez,فيكتر ألفرز,arab,0
Amara Quispe,أمارا كيسباي,arab,1
Amara Quispe,أمرا كسبي,arab,0
Farhad Rahimi,فرهاد رحيمي,arab,1
Farhad Rahimi,فرهد رحمي,arab,0
Zilan Omar,زيلان عمر,arab,1
Zilan Omar,زلن عمر,arab,0
Onur Yilmaz,أونور يلماز,arab,1
Onur Yilmaz,أنر يلمز,arab,0
Yoshiro Suzuki,يوشيرو سوزوكي,arab,1
Yoshiro Suzuki,يوشرو سزوكي,arab,0
Seo-Yeon Kim,سيو يون كيم,arab,1
Seo-Yeon Kim,سيو ين كم,arab,0
Chukwudi Nnamdi,تشوكوودي ننمدي,arab,1
Chukwudi Nnamdi,تشكودي نممدي,arab,0
Aisha Bello,عائشة بيلو,arab,1
Aisha Bello,عشا بيلو,arab,0
Temitayo Ogunleye,تيميتايو أوغونليي,arab,1
Temitayo Ogunleye,تمتيو أغنلي,arab,0
Hiwot Bekele,هيووت بيكيلي,arab,1
Hiwot Bekele,هيوت بكيل,arab,0
Seynabou Diop,سينابو ديوب,arab,1
Seynabou Diop,سنابو ديب,arab,0
Kojo Amoah,كوجو أمواه,arab,1
Kojo Amoah,كوج أموا,arab,0
Avani Sharma,أفاني شارما,arab,1
Avani Sharma,أفني شورما,arab,0
Siddhant Roy,سيدهانت روي,arab,1
Siddhant Roy,سدهنت روي,arab,0
Riya Malhotra,ريا مالهوترا,arab,1
Riya Malhotra,رييا ملحترا,arab,0
Aniruddha Bose,أنيرودها بوس,arab,1
Aniruddha Bose,أنرودا بوس,arab,0
Nguyen Thi Thanh,نغوين ثي ثانه,arab,1
Nguyen Thi Thanh,نغين ثي ثن,arab,0
Tran Van Minh,تران فان مينه,arab,1
Tran Van Minh,ترن فن منه,arab,0
Prasert Thongchai,براسيرت ثونغشاي,arab,1
Prasert Thongchai,برسيرت ثنغشي,arab,0
Zainab Ismail,زينب إسماعيل,arab,1
Zainab Ismail,زين سماعيل,arab,0
Andreas Kouris,أندرياس كوريس,arab,1
Andreas Kouris,أندرس كورس,arab,0
Sofie Larsen,سوفي لارسن,arab,1
Sofie Larsen,سفي لرسن,arab,0
Declan Murphy,ديكلان ميرفي,arab,1
Declan Murphy,دكلن مرفي,arab,0
Manuela Santos,مانويلا سانتوس,arab,1
Manuela Santos,منويلا سنتوس,arab,0
Diego Morales,دييغو موراليس,arab,1
Diego Morales,ديغ مورلس,arab,0
Citlalin Morales,سيتالين موراليس,arab,1
Citlalin Morales,ستالين مورلس,arab,0
Behzad Shariati,بهزاد شریعتي,arab,1
Behzad Shariati,بحزاد شرياتي,arab,0
Rojhat Aziz,روجهات عزيز,arab,1
Rojhat Aziz,رجهت عزز,arab,0
Efe Ozkan,إيفي أوزكان,arab,1
Efe Ozkan,إف أزكن,arab,0
Taro Yamada,تارو يامادا,arab,1
Taro Yamada,تار يمدا,arab,0
Ji-Min Park,جي مين بارك,arab,1
Ji-Min Park,جي من برك,arab,0
Ogechi Okeke,أوغيتشي أوكيكي,arab,1
Ogechi Okeke,أوگشي أكيكي,arab,0
Musa Ibrahim,موسى إبراهيم,arab,1
Musa Ibrahim,موسي إبراهم,arab,0
Adetola Adekunle,أديتولا أديكونلي,arab,1
Adetola Adekunle,أدتلا أدكونل,arab,0
Yohannes Tsegaye,يوهانيس تسيغاي,arab,1
Yohannes Tsegaye,يوهانس تسغاي,arab,0
Aminata Diallo,أميناتا ديالو,arab,1
Aminata Diallo,أمنتا ديلو,arab,0
Kwaku Boateng,كواكو بوتينغ,arab,1
Kwaku Boateng,كوكو بوتنغ,arab,0
Tara Sharma,تارا شارما,arab,1
Tara Sharma,ترا شورما,arab,0
Aryan Gupta,آريان غوبتا,arab,1
Aryan Gupta,أرين غبتا,arab,0
Shalini Roy,شاليني روي,arab,1
Shalini Roy,شلني روي,arab,0
Sourav Das,سوراف داس,arab,1
Sourav Das,سورف دس,arab,0
Hoang Van Duc,هوانغ فان دوك,arab,1
Hoang Van Duc,هونغ فن دك,arab,0
Le Thi Ngoc,لي ثي نغوك,arab,1
Le Thi Ngoc,لو ثي نجوك,arab,0
Surasak Promsuk,سوراساك برومسوك,arab,1
Surasak Promsuk,سرسك برمسوك,arab,0
Nurul Huda,نور الهدى,arab,1
Nurul Huda,نرل هدى,arab,0
Michalis Georgiou,ميخاليس جورجيو,arab,1
Michalis Georgiou,ميخلس جورجو,arab,0
Ida Hansen,إيدا هانسن,arab,1
Ida Hansen,إيد هنسن,arab,0
Rory Brennan,روري برينان,arab,1
Rory Brennan,رري برنان,arab,0
Fernanda Ribeiro,فيرناندا ريبيرو,arab,1
Fernanda Ribeiro,فرنندا ربيرو,arab,0
Javier Vargas,خافيير فارغاس,arab,1
Javier Vargas,خفير فرغس,arab,0
Amaru Quispe,أمارو كيسباي,arab,1
Amaru Quispe,أمرو كسبي,arab,0
Nima Hosseini,نيما حسيني,arab,1
Nima Hosseini,نيم حسين,arab,0
Shwan Jalal,شوان جلال,arab,1
Shwan Jalal,شون جلیل,arab,0
Can Yilmaz,جان يلماز,arab,1
Can Yilmaz,كن يلمز,arab,0
Riku Tanaka,ريكو تاناكا,arab,1
Riku Tanaka,ريك تنكا,arab,0
Hye-Jung Choi,هيي جونغ تشوي,arab,1
Hye-Jung Choi,هي جنغ شوي,arab,0
Chinelo Okonkwo,شينيلو أوكونكو,arab,1
Chinelo Okonkwo,شينلو أكونكو,arab,0
Abubakar Sani,أبو بكر ساني,arab,1
Abubakar Sani,أببكر سني,arab,0
Oluwatobi Adebayo,أولواتوبي أديبايو,arab,1
Oluwatobi Adebayo,ألواتبي أدباي,arab,0
Fikru Lemma,فيكرو ليما,arab,1
Fikru Lemma,فكرو لمما,arab,0
Fatouma Keita,فاطومة كيتا,arab,1
Fatouma Keita,فطمه كيت,arab,0
Kweku Mensah,كويكو مينساه,arab,1
Kweku Mensah,كويك منسه,arab,0
Isha Sharma,إيشا شارما,arab,1
Isha Sharma,إشه شورما,arab,0
Vikrant Gupta,فيكرانت غوبتا,arab,1
Vikrant Gupta,فكرنت غبتا,arab,0
Ananya Das,أنانيا داس,arab,1
Ananya Das,أننيا دس,arab,0
Soham Roy,سوهام روي,arab,1
Soham Roy,سوهم روي,arab,0
Nguyen Thi Mai,نغوين ثي ماي,arab,1
Nguyen Thi Mai,نغين ثي مي,arab,0
Tran Van Thanh,تران فان ثانه,arab,1
Tran Van Thanh,ترن فن ثن,arab,0
Pisit Chaiyaporn,بيسيت تشايابورن,arab,1
Pisit Chaiyaporn,بيست شيبورن,arab,0
Aminah Yusof,أمينة يوسف,arab,1
Aminah Yusof,أمنه يوسف,arab,0
Costas Papadakis,كوستاس باباداكيس,arab,1
Costas Papadakis,كستس بابادكس,arab,0
Linn Olsen,لين أولسن,arab,1
Linn Olsen,لن ألسن,arab,0
Conor Walsh,كونور والش,arab,1
Conor Walsh,كنر ولش,arab,0
Beatriz Silva,بياتريز سيلفا,arab,1
Beatriz Silva,بيتريز سليف,arab,0
Santiago Morales,سانتياغو موراليس,arab,1
Santiago Morales,سنتيغو مورلس,arab,0
Ximena Quispe,شيمينا كيسباي,arab,1
Ximena Quispe,شمنا كسبي,arab,0
Hassan Shariati,حسن شریعتي,arab,1
Hassan Shariati,حسن شرياتي,arab,0
Raman Aziz,رامان عزيز,arab,1
Raman Aziz,رمن عزز,arab,0
Eren Ozcan,إيرين أوزجان,arab,1
Eren Ozcan,إرن أزجن,arab,0
Satoshi Mori,ساتوشي موري,arab,1
Satoshi Mori,ستوشي موري,arab,0
Ji-Won Park,جي وون بارك,arab,1
Ji-Won Park,جي ون برك,arab,0
Amadi Obi,أمادي أوبي,arab,1
Amadi Obi,أمدي أوبي,arab,0
Zainab Sani,زينب ساني,arab,1
Zainab Sani,زين سني,arab,0
Temitope Adewale,تيميتوپي أديوالي,arab,1
Temitope Adewale,تمتوپ أدوالي,arab,0
Selam Tadesse,سيلام تاديسي,arab,1
Selam Tadesse,سلم تدسي,arab,0
Awa Keita,آوا كيتا,arab,1
Awa Keita,أو كيت,arab,0
Kwame Ofori,كوامي أوفوري,arab,1
Kwame Ofori,كوام أفري,arab,0
Riya Sharma,ريا شارما,arab,1
Riya Sharma,رييا شورما,arab,0
Aryan Roy,آريان روي,arab,1
Aryan Roy,أرين روي,arab,0
